signal_type,stock_name,ticker,price,change_pct,marketcap
3,"MDU Resources Group, Inc.",MDU,20.44,0.29,4416224768
3,QuantumScape Corporation,QS,7.26,3.27,4365512192
1,Science Applications Internatio,SAIC,91.7,5.66,4220217344
2,"H&R Block, Inc.",HRB,31.49,3.18,3991664128
2,Kilroy Realty Corporation,KRC,32.02,1.59,3831309312
3,Graphic Packaging Holding Compa,GPK,12.1,0.75,3571049728
2,"Lucid Group, Inc.",LCID,10.59,3.02,3432943872
2,"Hudson Pacific Properties, Inc.",HPP,7.69,20.91,3407655168
1,Trump Media & Technology Group ,DJT,10.96,0.64,3068774144
3,Western Union Company (The),WU,9.53,-1.75,3029061888
2,"Euronet Worldwide, Inc.",EEFT,70.93,-0.11,2982229248
1,Sezzle Inc.,SEZL,84.7,35.26,2892767744
1,"Kyndryl Holdings, Inc.",KD,12.31,1.74,2823913984
1,"Plug Power, Inc.",PLUG,1.91,0.0,2658023168
1,"Highwoods Properties, Inc.",HIW,23.42,1.12,2622458112
3,Park Hotels & Resorts Inc.,PK,11.71,4.0,2340987136
1,First Advantage Corporation,FA,11.69,22.79,2035403776
2,ZoomInfo Technologies Inc.,GTM,6.4,4.4,1953885824
1,"nCino, Inc.",NCNO,16.63,5.19,1925998720
1,Kemper Corporation,KMPR,32.47,3.05,1906462720
3,FMC Corporation,FMC,14.6,-2.47,1823832960
2,"DoubleVerify Holdings, Inc.",DV,9.53,0.0,1559378432
